smiles,log_vp(pa),split
CC(C)CCCC(C)C,3.094,train
Cc1ccncn1,2.790476296,train
CCCC[C@@H](C)CC,3.406,train
O=C=S,6.098549531,train
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-6.699005808,train
COCC(C)O,3.218804527,train
FC(F)(F)P(S)C(F)(F)F,4.508,train
CC(C)c1ccccc1C(=O)O,-1.33439818,train
CCC(=O)C(C)=O,3.154279489,train
C[Si](C)(C)C,4.979724744,train
COCc1ccccc1,2.345002607,train
C=COC=C,4.950998927,train
CCCCC1CCCC1,2.713319039,train
NCc1ccco1,2.799756446,train
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,-2.534460065,train
C1CCCCCC1,3.460524983,train
CCOP(=S)(OCC)OCCN(CC)CC,-0.556,train
C[C@H](CC[C@@H](C)O[N+](=O)[O-])O[N+](=O)[O-],0.837,train
NCc1ccccn1,1.823865309,train
CCOC(=O)C(O)c1ccccc1,-1.460131347,train
NC(=O)C(N)=O,-5.084573119,train
CN(C)C.Cl,-3.654996607,train
CC#CC,4.973799583,train
CCCCCCCCCCCCCC(=O)O,-3.728983833,train
C=CCc1cc(OC)c2c(c1)OCO2,-0.064872177,train
C#CCN(C)C(C)Cc1ccccc1,0.398,train
C1=C\CC/C=C/CC/C=C/CC/1,1.066,train
c1cnc2c(c1)ccc1ncccc12,-2.361887095,train
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,-2.26759818,train
OC(c1ccccc1)(c1ccccc1)c1ccccc1,-5.39798344,train
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,3.049,train
C=CC(=O)OCC(CC)CC,2.355330091,train
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,0.728128558,train
COC(=O)c1cc(O)c(O)c(O)c1,-3.624684693,train
C=CC(=C)C,4.867957742,train
O=c1cccccc1O,-1.043234921,train
O=c1[nH]sc2ccccc12,-3.431059899,train
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,-3.25,train
